EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
58	16:43:12	2	0.0016	2.21043939304556	2.538217782974243	0.7813	0.7960	0.7886
59	16:45:04	3	0.0016	2.2152927082662153	2.5316169261932373	0.7834	0.7937	0.7885
60	16:46:56	4	0.0016	2.210625584426733	2.534132480621338	0.7832	0.7925	0.7878
61	16:48:51	1	0.0008	2.2107192066037427	2.533823013305664	0.7839	0.7935	0.7887
62	16:50:43	2	0.0008	2.2056560077299654	2.5364129543304443	0.7817	0.7966	0.7891
63	16:52:35	3	0.0008	2.203231987401811	2.536907196044922	0.7814	0.7958	0.7885
64	16:54:27	4	0.0008	2.21519776687377	2.5341782569885254	0.7815	0.7946	0.7880
65	16:56:20	1	0.0004	2.2001026358287903	2.5352542400360107	0.7817	0.7949	0.7883
66	16:58:13	2	0.0004	2.204230760609057	2.5343017578125	0.7815	0.7944	0.7879
67	17:00:05	3	0.0004	2.201188746050032	2.53525710105896	0.7814	0.7948	0.7880
68	17:01:57	4	0.0004	2.203924877740586	2.5327916145324707	0.7818	0.7942	0.7880
69	17:03:51	1	0.0002	2.183672188436194	2.5351388454437256	0.7807	0.7944	0.7875
70	17:05:44	2	0.0002	2.188846758142018	2.5346908569335938	0.7820	0.7951	0.7885
71	17:07:36	3	0.0002	2.1985350903402816	2.534353733062744	0.7821	0.7955	0.7887
72	17:09:27	4	0.0002	2.2082294521801478	2.53471040725708	0.7820	0.7955	0.7887
