EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
58	14:31:53	4	0.0125	0.8886614611436581	1.5422998666763306	0.8902	0.8860	0.8881
59	14:32:17	1	0.0063	0.8705664820455271	1.5452960729599	0.8861	0.8872	0.8866
60	14:32:41	2	0.0063	0.8209938057537737	1.5274872779846191	0.8860	0.8860	0.8860
61	14:33:06	0	0.0063	0.8435149696366541	1.5272040367126465	0.8952	0.8824	0.8888
62	14:33:32	1	0.0063	0.8590771853923798	1.5265684127807617	0.8869	0.8848	0.8858
63	14:33:55	2	0.0063	0.8453104953313696	1.5356369018554688	0.8940	0.8812	0.8875
64	14:34:19	3	0.0063	0.8234276807513731	1.5221550464630127	0.8873	0.8884	0.8878
65	14:34:43	4	0.0063	0.8646559155192869	1.524202823638916	0.8901	0.8848	0.8874
66	14:35:06	1	0.0031	0.8061699607762797	1.522268295288086	0.8881	0.8860	0.8870
67	14:35:30	2	0.0031	0.8002576380968094	1.5319156646728516	0.8862	0.8873	0.8868
68	14:35:55	3	0.0031	0.8431062302712736	1.5294642448425293	0.8862	0.8873	0.8868
69	14:36:19	0	0.0031	0.8345526354066257	1.5327503681182861	0.8896	0.8885	0.8890
70	14:36:45	1	0.0031	0.8302559652205171	1.5405861139297485	0.8886	0.8886	0.8886
71	14:37:09	2	0.0031	0.7988773633179993	1.5569016933441162	0.8841	0.8873	0.8857
72	14:37:34	3	0.0031	0.8073675483465195	1.5367975234985352	0.8904	0.8861	0.8882
73	14:37:57	4	0.0031	0.8232116714633745	1.543366551399231	0.8910	0.8836	0.8873
74	14:38:21	1	0.0016	0.8094166327139427	1.5484542846679688	0.8864	0.8885	0.8874
75	14:38:45	2	0.0016	0.839181469946072	1.5387871265411377	0.8881	0.8860	0.8870
76	14:39:09	3	0.0016	0.851460479970636	1.541322946548462	0.8890	0.8848	0.8869
77	14:39:33	4	0.0016	0.8261012691875984	1.5467058420181274	0.8852	0.8873	0.8862
78	14:39:57	1	0.0008	0.8295195205458279	1.544752597808838	0.8873	0.8884	0.8878
79	14:40:21	2	0.0008	0.8153511588943416	1.5422642230987549	0.8874	0.8885	0.8880
80	14:40:45	3	0.0008	0.8440853742689922	1.5442501306533813	0.8864	0.8885	0.8874
81	14:41:09	4	0.0008	0.8302305037605351	1.54195237159729	0.8884	0.8884	0.8884
82	14:41:34	1	0.0004	0.8303973669635838	1.5416803359985352	0.8884	0.8884	0.8884
83	14:42:00	2	0.0004	0.7944699931761314	1.541582465171814	0.8894	0.8884	0.8889
84	14:42:24	3	0.0004	0.8407523544697926	1.5414034128189087	0.8894	0.8884	0.8889
85	14:42:49	4	0.0004	0.7732571630642332	1.5411972999572754	0.8884	0.8884	0.8884
86	14:43:13	1	0.0002	0.8157237429043342	1.5422714948654175	0.8894	0.8884	0.8889
87	14:43:37	2	0.0002	0.7710528818183932	1.5425565242767334	0.8894	0.8884	0.8889
88	14:44:01	3	0.0002	0.8309779868557535	1.542576789855957	0.8884	0.8884	0.8884
89	14:44:25	4	0.0002	0.8292671349541895	1.5434681177139282	0.8873	0.8884	0.8878
