EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
58	18:40:46	3	0.0125	2.0411300297747266	2.453341245651245	0.8147	0.8115	0.8131
59	18:42:11	0	0.0125	2.047034103439209	2.5144295692443848	0.8001	0.8305	0.8151
60	18:43:40	0	0.0125	2.052068255302754	2.4676012992858887	0.8110	0.8196	0.8153
61	18:45:07	1	0.0125	2.0505825250706775	2.5022244453430176	0.8027	0.8226	0.8125
62	18:46:32	2	0.0125	2.0344558809665925	2.5103588104248047	0.8014	0.8274	0.8142
63	18:47:58	0	0.0125	2.0364693928272164	2.4804189205169678	0.8065	0.8258	0.8160
64	18:49:25	0	0.0125	2.021684702913812	2.494410991668701	0.8112	0.8235	0.8173
65	18:50:53	1	0.0125	2.0247298238125255	2.48775577545166	0.8088	0.8242	0.8164
66	18:52:20	2	0.0125	2.0023041793640624	2.5019049644470215	0.8028	0.8292	0.8158
67	18:53:45	3	0.0125	1.9833998508909916	2.486698627471924	0.8119	0.8224	0.8171
68	18:55:10	4	0.0125	2.0108330030390555	2.506734609603882	0.8028	0.8259	0.8142
69	18:56:36	1	0.0063	1.9782073865545557	2.524623394012451	0.8005	0.8243	0.8122
70	18:58:00	2	0.0063	1.9686206591890214	2.497427463531494	0.8037	0.8231	0.8132
71	18:59:27	3	0.0063	1.969320900516307	2.5214953422546387	0.8030	0.8289	0.8157
72	19:00:52	4	0.0063	1.947615789859853	2.5122716426849365	0.8048	0.8260	0.8153
73	19:02:18	1	0.0031	1.9683707531462324	2.497391700744629	0.8060	0.8276	0.8167
74	19:03:43	2	0.0031	1.932567385790196	2.5088071823120117	0.8059	0.8284	0.8170
75	19:05:09	3	0.0031	1.9492252158357741	2.4847748279571533	0.8092	0.8209	0.8150
76	19:06:35	4	0.0031	1.929768331507419	2.497921943664551	0.8044	0.8228	0.8135
77	19:08:01	1	0.0016	1.924263155587176	2.5068085193634033	0.8047	0.8288	0.8166
78	19:09:27	2	0.0016	1.9528014817136399	2.499135971069336	0.8062	0.8264	0.8162
79	19:10:52	3	0.0016	1.9251264187883823	2.5096664428710938	0.8053	0.8285	0.8167
80	19:12:18	4	0.0016	1.9207519300440525	2.5024662017822266	0.8067	0.8262	0.8163
81	19:13:45	1	0.0008	1.9076892804592214	2.507781982421875	0.8067	0.8280	0.8172
82	19:15:10	2	0.0008	1.9183811462940055	2.503204345703125	0.8072	0.8270	0.8170
83	19:16:36	3	0.0008	1.9260283011071226	2.5066041946411133	0.8049	0.8273	0.8159
84	19:18:01	4	0.0008	1.92873627733677	2.500474452972412	0.8072	0.8269	0.8169
85	19:19:27	1	0.0004	1.9222477792425359	2.5054304599761963	0.8058	0.8276	0.8165
86	19:20:53	2	0.0004	1.900701621745495	2.506472587585449	0.8063	0.8284	0.8172
87	19:22:19	0	0.0004	1.9278827944968608	2.501786470413208	0.8079	0.8283	0.8180
88	19:23:47	1	0.0004	1.9131090946654057	2.5039243698120117	0.8070	0.8277	0.8172
89	19:25:13	2	0.0004	1.9203261403327292	2.5039591789245605	0.8072	0.8274	0.8172
90	19:26:38	3	0.0004	1.9047515449371744	2.502744197845459	0.8072	0.8277	0.8173
91	19:28:05	4	0.0004	1.9060584334616966	2.507432460784912	0.8064	0.8278	0.8169
92	19:29:30	1	0.0002	1.9089850457424813	2.507561445236206	0.8065	0.8276	0.8169
93	19:30:56	2	0.0002	1.903728517065657	2.5087456703186035	0.8065	0.8276	0.8169
94	19:32:22	3	0.0002	1.9129118982781754	2.5084335803985596	0.8065	0.8276	0.8169
95	19:33:47	4	0.0002	1.9149648476154246	2.508836269378662	0.8060	0.8276	0.8166
